N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"82,000",500,+0.61%,100,"4,895,222","5,969,783",53.35,"10,894,591",19.69,9.99,
2,SK하이닉스,"116,500","1,500",-1.27%,"5,000","848,123","728,002",48.40,"1,866,381",16.64,9.53,
3,NAVER,"446,000","1,500",+0.34%,100,"732,615","164,263",56.65,"397,544",4.54,15.22,
4,카카오,"149,000","3,500",+2.41%,100,"662,246","444,460",31.73,"2,255,509",216.89,2.70,
5,삼성전자우,"75,000",100,+0.13%,100,"617,165","822,887",75.89,"868,124",18.01,N/A,
6,삼성바이오로직스,"911,000","8,000",-0.87%,"2,500","602,763","66,165",10.38,"46,381",227.18,N/A,
7,LG화학,"845,000","3,000",+0.36%,"5,000","596,505","70,592",47.28,"99,530",36.78,2.93,
8,삼성SDI,"777,000","1,000",+0.13%,"5,000","534,300","68,765",43.91,"144,738",76.11,4.54,
9,현대차,"220,500","2,000",-0.90%,"5,000","471,138","213,668",28.66,"416,166",26.69,2.04,
10,카카오뱅크,"87,300","17,500",+25.07%,"5,000","414,762","475,100",4.67,"33,648,116",282.52,5.08,
11,셀트리온,"266,000","5,500",-2.03%,"1,000","366,858","137,917",20.49,"264,969",61.02,16.68,
12,기아,"86,200",600,+0.70%,"5,000","349,423","405,363",33.33,"1,010,198",15.48,5.05,
13,POSCO,"336,500","4,500",-1.32%,"5,000","293,384","87,187",54.08,"295,259",13.15,3.61,
14,삼성물산,"143,000","1,500",-1.04%,100,"267,249","186,887",15.06,"390,177",17.03,3.81,
15,LG전자,"162,000","5,000",+3.18%,"5,000","265,109","163,648",31.78,"866,263",15.09,13.23,
16,현대모비스,"274,000","2,500",-0.90%,"5,000","259,733","94,793",35.62,"120,680",14.62,4.66,
17,LG생활건강,"1,443,000","15,000",-1.03%,"5,000","225,371","15,618",45.30,"22,250",31.10,17.92,
18,SK이노베이션,"239,000","1,500",-0.62%,"5,000","220,993","92,466",22.80,"499,057",-22.60,-13.58,
19,KB금융,"52,900",700,+1.34%,"5,000","219,962","415,808",67.21,"1,495,467",5.50,8.53,
20,SK텔레콤,"302,000","3,500",-1.15%,500,"217,622","72,060",46.55,"88,538",13.91,6.44,
21,신한지주,"39,150",400,+1.03%,"5,000","202,249","516,600",59.99,"1,079,181",5.49,8.20,
22,SK,"273,000","5,500",-1.97%,200,"192,084","70,360",20.19,"104,887",31.79,1.11,
23,엔씨소프트,"822,000","1,000",-0.12%,500,"180,462","21,954",51.58,"38,131",38.17,20.83,
24,SK바이오사이언스,"232,000","12,500",-5.11%,500,"177,480","76,500",4.56,"1,747,004",180.26,13.25,
25,한국전력,"25,250",200,-0.79%,"5,000","162,096","641,964",15.27,"1,188,514",7.89,2.91,
26,HMM,"39,700",250,-0.63%,"5,000","160,941","405,392",9.32,"2,181,013",37.63,8.93,
27,삼성생명,"77,100",100,+0.13%,500,"154,200","200,000",13.04,"172,405",7.26,3.53,
28,SK아이이테크놀로지,"210,500","2,000",-0.94%,"1,000","150,081","71,298",7.91,"289,021",N/A,11.00,
29,LG,"94,600",200,-0.21%,"5,000","148,807","157,301",33.14,"174,760",8.68,7.50,
30,삼성에스디에스,"187,500",500,+0.27%,500,"145,083","77,378",11.66,"60,072",23.05,6.71,
31,삼성전기,"191,500","2,500",-1.29%,"5,000","143,038","74,694",32.80,"254,322",21.07,10.92,
32,하나금융지주,"44,300","1,050",+2.43%,"5,000","133,007","300,242",67.58,"1,047,600",4.72,8.96,
33,아모레퍼시픽,"226,000","2,500",-1.09%,500,"132,116","58,458",33.50,"63,156",158.15,0.78,
34,포스코케미칼,"158,500","1,000",+0.63%,500,"122,779","77,463",7.94,"352,407",190.50,2.96,
35,하이브,"309,000","1,000",-0.32%,500,"120,667","39,051",16.26,"142,484",109.93,12.52,
36,넷마블,"134,500","2,000",-1.47%,100,"115,607","85,954",22.83,"167,712",36.59,6.35,
37,KT&G,"81,600",600,-0.73%,"5,000","112,031","137,292",37.00,"349,516",9.72,13.22,
38,두산중공업,"21,550",850,-3.79%,"5,000","110,426","512,416",5.42,"4,017,028",-12.11,-37.20,
39,S-Oil,"94,000","2,900",-2.99%,"2,500","105,828","112,583",77.88,"309,437",25.54,-13.07,
40,대한항공,"30,250",350,-1.14%,"5,000","105,216","347,821",10.82,"997,338",12.93,-7.22,
41,삼성화재,"214,500","3,500",-1.61%,500,"101,619","47,375",48.16,"53,138",10.69,4.96,
42,고려아연,"528,000","1,000",+0.19%,"5,000","99,634","18,870",20.33,"31,675",15.45,8.37,
43,SK바이오팜,"123,500","3,500",-2.76%,500,"96,717","78,313",6.71,"194,334",-179.25,-135.18,
44,롯데케미칼,"264,000","1,000",-0.38%,"5,000","90,487","34,275",27.02,"94,537",12.19,1.22,
45,한국조선해양,"125,000","5,000",-3.85%,"5,000","88,466","70,773",17.53,"314,686",-9.57,-7.42,
46,KT,"33,500",0,0.00%,"5,000","87,472","261,112",44.14,"502,277",11.63,4.76,
47,한온시스템,"16,050",100,-0.62%,100,"85,675","533,800",17.80,"399,963",63.44,5.09,
48,우리금융지주,"11,100",50,+0.45%,"5,000","80,172","722,268",27.77,"1,580,241",5.51,5.87,
49,LG디스플레이,"22,000",250,-1.12%,"5,000","78,719","357,816",17.85,"1,487,902",23.31,-0.79,
50,기업은행,"10,400",50,-0.48%,"5,000","77,407","744,301",12.93,"757,929",5.09,6.44,
